Start,End,Duration,Exposure Time,Downside Exposure Time,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN,Avg Consecutive Wins,Avg Consecutive Losses,Max Consecutive Wins,Max Consecutive Losses,Args
2021-09-20 00:00:00,2021-09-26 20:00:00,6D 20H,0.6097560975609756,0.92,0.017719817987906117,0.057119201674248485,0.0641876936697654,12,0.3333333333333333,0.2639667405764968,-0.09299237368922782,0.004759933472854041,0.08700442414146747,-0.03636231186145268,0.08960491472471066,1.9110573056498295,1.7118994921227921,-0.4291347633304554,1.7427475971689965,1.196354407730879,0.5,1.0988129351667006,0.1840177325308557,1.0,1.5,1,3,"[24, 12, 7, 400.8134686464935, False]"
2021-09-27 00:00:00,2021-10-03 20:00:00,6D 20H,0.5365853658536586,1.0,-0.06225113098252133,-0.05991180098029907,0.030519223147047247,13,0.46153846153846156,0.03698033958891874,-0.03590080822924318,-0.004608600075407621,0.0202176346377076,-0.025888229829506386,0.026435755976047515,-0.9799584303149772,0.5050544087711473,0.0,1.103814668786157,0.6693930497435447,0.8571428571428571,-1.9997022355914418,-0.6285632192642812,2.0,1.3333333333333333,4,2,"[6, 6, 8, 343.83929609681064, False]"
2021-10-04 04:00:00,2021-10-10 20:00:00,6D 16H,0.625,0.92,-0.09072138409271324,-0.09157932323798523,-0.05215686274509801,12,0.25,0.0440885668276973,-0.04377227722772271,-0.0076316102698321025,0.024896618133268846,-0.018474353070865753,0.02399069751228557,-0.9969281537697534,0.45834163241078646,-24.277835026076744,-5.662744353374015,0.449210463784901,0.3333333333333333,-2.24052994786512,-1.1019551827656997,1.5,2.5,2,3,"[24, 9, 6, 98.10263147530436, False]"
2021-10-11 08:00:00,2021-10-17 20:00:00,6D 12H,0.6666666666666666,0.34615384615384615,0.08268124046207803,0.08402480937820007,0.05755102040816329,13,0.6923076923076923,0.053440154440154444,-0.04589795918367353,0.00646344687524616,0.02079982959118024,-0.02579341423560551,0.026901902446925963,124.5414733580496,0.5139601245926878,-0.33251205974258924,-0.07436678913354731,1.8144017753009538,2.25,242.25901465940504,0.8662691856426855,4.5,0.5,7,2,"[23, 12, 7, 499.50966441598047, False]"
2021-10-18 00:00:00,2021-10-24 20:00:00,6D 20H,0.6097560975609756,0.04,0.05240552256394615,0.054535387375481026,-0.004247104247104172,10,0.6,0.04424361948955923,-0.03891291291291297,0.005453538737548102,0.022390967531939292,-0.01995260445403868,0.027208548138692567,21.36006369941948,0.519818582307978,-0.484479591731787,-0.10095724321353039,1.6833116386021765,1.5,41.03366910185218,0.633830354736448,2.0,0.6666666666666666,4,1,"[12, 10, 8, 50.214585086213724, False]"
2021-10-25 04:00:00,2021-10-31 20:00:00,6D 16H,0.65,0.8076923076923077,-0.11634093409571766,-0.11473494544855174,-0.05414615675880352,11,0.36363636363636365,0.03153706754530474,-0.11728746840014453,-0.010430449586231976,0.017539375081847088,-0.02641320653942002,0.03941909693011273,-0.9994600898042134,0.7531007894145061,-12.69368786688923,-8.223672044429158,0.3794503341278093,0.5714285714285714,-1.366961905065272,-0.8775920902901887,0.6666666666666666,2.3333333333333335,1,4,"[23, 9, 8, 258.2277511006872, False]"
2021-11-01 00:00:00,2021-11-07 12:00:00,6D 12H,0.6410256410256411,0.6,-0.04277828135005368,-0.03952389460755379,0.036109971276159225,10,0.3,0.06014074681986042,-0.05774281503316135,-0.003952389460755379,0.02743589949571972,-0.017404513299244705,0.030245338181652048,-0.9300271195294173,0.5778363746154375,-1.6526981492254298,-0.8077810444700699,0.6755858344819675,0.42857142857142855,-1.6614169022646523,-0.4132389864833375,1.0,1.0,2,6,"[7, 2, 10, 456.5803424875947, False]"
2021-11-08 04:00:00,2021-11-14 20:00:00,6D 16H,0.625,0.8,-0.032679051040236495,-0.03047135738849999,-0.045454545454545414,10,0.5,0.03582826005261182,-0.05289547294810453,-0.003047135738849999,0.013252299745185995,-0.019346571222885987,0.02433086702864486,-0.8675014610192973,0.4648405618956279,-2.324281747462708,-1.2244692212044899,0.6849947513960103,1.0,-1.9307726876485793,-0.39603558981772563,1.0,0.8,1,1,"[22, 9, 8, 441.4585832384171, False]"
2021-11-15 04:00:00,2021-11-21 20:00:00,6D 16H,0.6,1.0,-0.05559657991937683,-0.053949230993679834,-0.125758188435099,10,0.2,0.05723792931806877,-0.037740461610927985,-0.005394923099367984,0.03529821431165131,-0.015568207452122805,0.02639794760392934,-0.9691857905925769,0.5043320808360564,0.0,0.8808793833136563,0.5668317052590119,0.25,-1.9812060913043186,-0.6462716363948805,1.0,2.0,1,3,"[11, 6, 5, 294.2747969419179, False]"
2021-11-22 00:00:00,2021-11-28 20:00:00,6D 20H,0.6097560975609756,0.44,0.0019777937297000836,0.0059585482074618334,-0.03915950334288443,13,0.6153846153846154,0.05906322444678612,-0.04082300884955746,0.00045834986211244874,0.016211662203671335,-0.02474694988438177,0.025855308569725722,0.12771894744827494,0.49396497664413647,-2.0361288044614287,-0.9287359234571692,1.0481558190831621,1.6,0.1978256598517386,0.06391739342393059,1.6666666666666667,1.6666666666666667,3,2,"[23, 9, 9, 104.90508745947622, False]"
