Start,End,Duration,Exposure Time,Downside Exposure Time,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN,Avg Consecutive Wins,Avg Consecutive Losses,Max Consecutive Wins,Max Consecutive Losses,Args
2021-09-01 20:00:00,2021-11-30 23:00:00,3M 3H,0.2588996763754045,0.9696428571428571,-0.2910677715829204,-0.3033709441951905,0.16805170821791315,64,0.25,0.14876372228280615,-0.07133202427704399,-0.004740171003049852,0.03948303465430886,-0.019481239555502756,0.03614371892123729,-0.7521898204199586,0.6905247804184534,-18.831122517816084,-8.784314057355783,0.6755736211723123,0.3333333333333333,-1.132746923211006,-1.0491827945827956,1.1428571428571428,3.142857142857143,2,7,"[28, 42, 'HMA']"
2021-12-01 01:00:00,2022-02-27 19:00:00,2M 4W 18H,0.14037558685446008,0.4013377926421405,-0.09127425966574765,-0.08711709677083808,-0.5439517187090003,6,0.3333333333333333,0.09486534943285771,-0.05353490080822924,-0.014519516128473013,0.04745350804976218,-0.04550602821759061,0.05688624650148432,-0.32765726711840026,1.0868102134112871,-2.7044753514702373,-1.1910112579865368,0.5213980422863927,0.5,-0.32908898233094747,-0.6252021888268118,1.0,1.0,1,2,"[44, 45, 'RMA']"
2022-03-09 05:00:00,2022-05-31 23:00:00,2M 3W 2D 18H,0.2393034825870647,0.5031185031185031,-0.07716812971213538,-0.07192524078736778,-0.41326530612244905,13,0.38461538461538464,0.06097916666666674,-0.08300734394124847,-0.005532710829797522,0.027115540974424028,-0.025937868207435995,0.03668452141024407,-0.2975370645032357,0.7008567974636539,-5.155495683423106,-1.7140166736132953,0.6533772541937933,0.625,-0.467338072040632,-0.5437844579206998,2.0,2.3333333333333335,3,5,"[44, 77, 'EMA']"
2022-06-02 22:00:00,2022-08-30 13:00:00,2M 4W 15H,0.2646920545369064,0.3907637655417407,-0.005163289723810749,0.036943506810857736,-0.27346115035317864,33,0.3333333333333333,0.19302985074626863,-0.06709547123623012,0.0011195002063896283,0.052699675314511425,-0.02467058734767127,0.053025245102087844,-0.02124252748339084,1.0130458852489452,-2.410065143772945,-0.4762599899874014,1.068066896256645,0.5,-0.05058263226724279,0.12128259013298277,1.8333333333333333,3.1666666666666665,4,10,"[49, 100, 'HMA']"
2022-09-02 04:00:00,2022-11-30 23:00:00,2M 4W 1D 19H,0.21531322505800465,0.9116379310344828,-0.08229455029768495,-0.07751154927422799,-0.2458563535911602,20,0.3,0.06982630691399662,-0.06698984771573599,-0.0038755774637113994,0.02919613484047615,-0.01804916845122035,0.02944516118370162,-0.2968602218981886,0.5625490145347084,-8.288284925406757,-5.035532056763858,0.6932523928270452,0.42857142857142855,-0.5810342093809177,-0.5886233467603985,1.25,2.6,2,5,"[21, 25, 'RMA']"
2022-12-02 12:00:00,2023-02-27 10:00:00,2M 3W 5D 22H,0.275647171620326,1.0,-0.14423551612149432,-0.14594386507016882,0.17005347593582876,33,0.21212121212121213,0.06478083989501308,-0.033183595871808816,-0.004422541365762691,0.034717713835421486,-0.014960302381466126,0.02455524088682127,-0.4837038492938084,0.46912721843715693,0.0,18.273244426418117,0.6247919703430636,0.2692307692307692,-1.0950203465174189,-1.0346290655272998,1.0,3.5714285714285716,1,8,"[49, 97, 'HMA']"
2023-03-01 04:00:00,2023-05-30 13:00:00,3M 9H,0.23881973259566622,0.862934362934363,-0.0401164842909022,-0.03627021122248339,-0.17059449597080734,50,0.34,0.04883949991552641,-0.027521060842433685,-0.0007254042244496678,0.013417747144999968,-0.008011270081438874,0.013851925935307482,-0.15299441350300202,0.26464067340980313,-2.4422572704006713,-0.8776038469304246,0.8628061095682322,0.5151515151515151,-0.6914825719916088,-0.3703010314993735,1.3076923076923077,2.3076923076923075,3,6,"[44, 48, 'HMA']"
2023-06-03 11:00:00,2023-08-30 04:00:00,2M 3W 6D 17H,0.1681710213776722,0.7937853107344632,-0.041970924261566345,-0.04047632460981189,-0.12883087400681026,20,0.35,0.043397865853658464,-0.03183267871170464,-0.0020238162304905944,0.012602543459449363,-0.009899548371227498,0.01583033802107842,-0.16463531245876195,0.3024381832366482,-4.733194415941156,-2.196654240911048,0.6854842953671101,0.5384615384615384,-0.6435540326813366,-0.5717364543092764,1.25,2.4,2,4,"[32, 35, 'EMA']"
2023-09-01 10:00:00,2023-11-30 23:00:00,3M 13H,0.26000920386562354,0.8672566371681416,0.09926794744586753,0.10111914195255532,0.28534523250352284,53,0.4339622641509434,0.051393516773463925,-0.025520648967551622,0.0019079083387274589,0.015042916020994746,-0.00816226421767746,0.015799713888458,0.4679044640352441,0.3018531100044414,-1.138866802826377,1.5971225297787484,1.4129538048750252,0.7666666666666667,1.4507203985037649,0.879116068978774,1.6153846153846154,2.0714285714285716,3,6,"[34, 49, 'HMA']"
2023-12-12 10:00:00,2024-02-24 01:00:00,2M 1W 6D 15H,0.16921335597057158,1.0,-0.17395817374785505,-0.1862845820613098,0.031488417256207546,15,0.3333333333333333,0.03488030214991282,-0.0531570259397974,-0.012418972137420653,0.009571866334410001,-0.02341439137333598,0.022556957427390157,-0.6153991932401721,0.4309500665495929,0.0,1.5426965422671244,0.2044013483372095,0.5,-1.4976194305005424,-2.1323120558289372,1.0,1.6,1,4,"[28, 39, 'EMA']"
