Start,End,Duration,Exposure Time,Downside Exposure Time,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN,Avg Consecutive Wins,Avg Consecutive Losses,Max Consecutive Wins,Max Consecutive Losses,Args
2018-08-20 08:00:00,2018-08-26 20:00:00,6D 12H,0.46153846153846156,0.1111111111111111,0.08043744180899304,0.0790037148627662,0.03959781529294926,9,0.5555555555555556,0.04719573771769201,-0.01624454435114305,0.008778190540307354,0.020329146110155134,-0.005660503922002368,0.01822046758284655,109.65658042930961,0.34810154439791,-0.2503176219119425,-0.05071452932657686,4.489252721638392,1.25,314.9270153883517,1.445329078476254,1.6666666666666667,0.6666666666666666,2,1,"[10, 12, 6, 441.83186254379626, False]"
2018-08-27 00:00:00,2018-09-02 08:00:00,6D 8H,0.5263157894736842,0.0,0.04976277383598515,0.049618006984759,0.08417009717354218,8,0.75,0.027461797164463213,-0.02425548039907522,0.006202250873094875,0.012836691176640434,-0.013701070037541795,0.016097506767971816,18.18872202548476,0.3075424349791227,-0.7994072027468766,-0.17053795432162197,2.8107347400167484,3.0,59.044606402747156,1.0897721527190602,1.0,1.0,3,1,"[7, 3, 6, 424.3700578376428, False]"
2018-09-03 00:00:00,2018-09-09 20:00:00,6D 20H,0.6097560975609756,0.72,-0.07555123712243073,-0.07730373674270992,-0.13936489228998405,9,0.4444444444444444,0.006031029764646848,-0.04193180049061722,-0.008589304082523324,0.0026420142410328888,-0.01757435874136829,0.014942670382871844,-0.9915949602028759,0.28547931682080174,-9.385850711589384,-3.3784177978585883,0.12026677183111552,0.8,-3.578525308171945,-1.7244516266052854,1.5,4.0,2,4,"[17, 9, 9, 420.6803216028199, False]"
2018-09-10 00:00:00,2018-09-16 20:00:00,6D 20H,0.5121951219512195,0.23809523809523808,0.021184580918315987,0.021168109692365846,0.03041832924914889,9,0.6666666666666666,0.011997630387423009,-0.00872390316419958,0.0023520121880406496,0.005658900045852392,-0.004261763527582834,0.006723139984349601,2.5796601295200663,0.12844540904969523,-2.777047853915518,-0.6011784385894966,2.65566121124603,2.0,19.850146053360373,1.049515045134755,2.5,1.0,5,2,"[6, 3, 6, 72.1170815616496, False]"
2018-09-17 00:00:00,2018-09-23 20:00:00,6D 20H,0.6829268292682927,0.5714285714285714,0.03342118025908758,0.03444728750331667,0.029282693688661876,9,0.6666666666666666,0.0301715257753979,-0.03892449471855837,0.0038274763892574082,0.012827352662504947,-0.014172276157237667,0.019360359516144218,6.388211101162008,0.3698791492054397,-0.030022828168022042,0.0037759858035502944,1.8102036003516797,2.0,17.18996897992351,0.5930896664494921,6.0,1.0,6,1,"[21, 9, 10, 160.1887307324342, False]"
2018-09-24 04:00:00,2018-09-30 20:00:00,6D 16H,0.5,0.45,0.027502675803705134,0.02768574673710387,-0.007689520090087942,9,0.5555555555555556,0.025218000698572145,-0.011077023212093709,0.00307619408190043,0.010572794775268195,-0.0062945567848092755,0.011371297002563004,4.209509405816326,0.21724832419372514,-0.2333992636812131,0.12307332862993296,2.099590792632064,1.25,19.23839652769595,0.811568130145685,2.5,1.0,3,1,"[18, 8, 6, 364.957251743577, False]"
2018-10-01 08:00:00,2018-10-07 12:00:00,6D 4H,0.4864864864864865,0.3888888888888889,0.0016097337794804822,0.0017560902466334854,-0.0019605761940865163,8,0.5,0.013187615471168684,-0.008184331804205029,0.00021951128082918568,0.004785196305881976,-0.004346173744223605,0.006503098658315577,0.10279375698826776,0.12424152541852437,-0.828576145060401,0.08194564195875437,1.1010135782633785,1.0,0.5859052095750769,0.0954732033922217,3.0,1.5,3,2,"[24, 4, 9, 461.45992348288195, False]"
2018-10-08 00:00:00,2018-10-14 20:00:00,6D 20H,0.6585365853658537,0.8888888888888888,-0.04807978597959939,-0.047565364709236405,-0.040258824028123086,7,0.42857142857142855,0.013235495819392533,-0.05369039360579103,-0.006795052101319486,0.007705570402839483,-0.017670518979438717,0.02231427898617665,-0.9500885629982994,0.426313701440169,-6.9015241674777945,-4.420751833196998,0.32705195636043405,0.75,-2.298984432560749,-0.8056732649509014,1.0,2.0,2,2,"[24, 4, 10, 12.223170169869842, False]"
2018-10-15 00:00:00,2018-10-21 20:00:00,6D 20H,0.5365853658536586,0.0,0.041875252283186226,0.04418710465762254,0.032932601880877765,8,0.5,0.0742742946708464,-0.02648859781584219,0.005523388082202817,0.022807226913348418,-0.011760450748942787,0.030072700781515086,11.1280163926353,0.574538141716898,-0.4661093690745307,-0.33010774495606865,1.9393157116361963,1.0,19.316413631775585,0.5194911087535256,1.0,1.5,2,2,"[24, 4, 10, 19.39596165585557, False]"
2018-10-22 08:00:00,2018-10-28 20:00:00,6D 12H,0.5897435897435898,1.0,-0.01337991812982986,-0.013402163103616756,-0.0157825295723385,8,0.375,0.002719235949552968,-0.00890567182286929,-0.0016752703879520945,0.0018623166350696984,-0.0037978226017651696,0.004019523330220748,-0.5593213449600944,0.07679288539831633,0.0,0.3902923009300739,0.29421858212189095,0.6,-7.6741659322129765,-1.1788413245277893,1.5,0.5,2,3,"[21, 9, 10, 492.0081769345868, False]"
2018-10-29 12:00:00,2018-11-04 20:00:00,6D 8H,0.5263157894736842,1.0,-0.0022498255107838983,-0.002180139013202316,0.01618316161540201,9,0.4444444444444444,0.007511398690843313,-0.006963124514301534,-0.00024223766813359068,0.0033625446592588544,-0.0031260635300475468,0.004241327414908384,-0.12804597234777992,0.08103044648627764,0.0,0.3371713914031944,0.8605185728154952,0.8,-1.9504517030465176,-0.1713409348795746,1.3333333333333333,1.0,2,1,"[23, 4, 10, 9.774941362218367, False]"
2018-11-05 00:00:00,2018-11-11 16:00:00,6D 16H,0.65,0.07692307692307693,0.010940939898192115,0.011095177352585844,-0.0073566580151090966,9,0.3333333333333333,0.019716831204116405,-0.0034934417689369574,0.0012327974836206493,0.007926743442884925,-0.002114175496011488,0.007233913321228322,0.9385866630751816,0.1382037199490349,-0.4260590374639702,-0.18010845096384204,1.8746654328931478,0.5,6.574256202439696,0.5112575015253236,1.0,1.6666666666666667,1,4,"[8, 9, 7, 434.1998753869447, False]"
2018-11-12 04:00:00,2018-11-18 16:00:00,6D 12H,0.6410256410256411,0.88,-0.03344618835841373,-0.03259621922542843,-0.11786812753885745,9,0.5555555555555556,0.008913777682372736,-0.050804021608161956,-0.0036218021361587144,0.004583688361905816,-0.013878665258739377,0.018152458949013142,-0.8737444045841303,0.34680224127288545,-71.21898161548314,-26.905434626220185,0.41283584160042636,1.25,-2.6059358822684433,-0.5985638881759785,0.5,2.0,3,2,"[23, 8, 7, 278.05978180311615, False]"
2018-11-19 00:00:00,2018-11-25 20:00:00,6D 20H,0.5609756097560976,1.0,-0.12048656747613595,-0.11589223682909736,-0.26925855975733637,10,0.5,0.05912600643519116,-0.09556874246309098,-0.011589223682909735,0.028158269800663816,-0.05133671716648329,0.050294450779173654,-0.9995944130263208,0.9608741329644759,0.0,5.651448086081986,0.5485015668093359,1.0,-1.071518503521195,-0.7286756805849328,1.3333333333333333,1.0,2,2,"[22, 10, 10, 475.3020073678816, False]"
2018-11-26 00:00:00,2018-12-02 20:00:00,6D 20H,0.43902439024390244,0.1111111111111111,0.03918291271257046,0.04287022879607838,0.010203982539366718,9,0.5555555555555556,0.04354199809895435,-0.06349301649968342,0.00476335875511982,0.026691015060613783,-0.022646211626747636,0.032772672435088815,9.361671477319383,0.6261210277304501,-0.9051714513586351,-0.24182061221196335,1.4732604894657522,1.25,14.90394199208518,0.4360363438063556,2.5,0.5,4,2,"[9, 9, 9, 133.89157102249533, False]"
2018-12-03 00:00:00,2018-12-09 20:00:00,6D 20H,0.5853658536585366,1.0,-0.10796629700614813,-0.11047092397645725,-0.12134572490706319,9,0.2222222222222222,0.006703294387599852,-0.08060919957420411,-0.01227454710849525,0.003984769245557074,-0.016920066066795914,0.026980863722333794,-0.9990416440359381,0.5154686776411821,0.0,21.43850394016391,0.06728729629282038,0.2857142857142857,-1.9963223541436095,-1.3648058751730936,2.0,5.0,2,5,"[11, 7, 9, 91.61120012062659, False]"
2018-12-10 00:00:00,2018-12-16 16:00:00,6D 16H,0.35,1.0,-0.015962955608800233,-0.015846115689076144,-0.08329885067177856,6,0.6666666666666666,0.010075747931253858,-0.014759285688147283,-0.002641019281512691,0.0029670994981788167,-0.013857256840895706,0.00944919633996972,-0.6242810670542638,0.1805266425961095,0.0,0.34276557330989005,0.4282376421604998,2.0,-3.6242908949349957,-0.684624322302807,0,1.0,4,1,"[10, 2, 10, 244.34002770890822, False]"
2018-12-17 08:00:00,2018-12-23 20:00:00,6D 12H,0.5384615384615384,0.0,0.09252350769474127,0.09014375240744,0.2010630039182606,7,0.7142857142857143,0.04470488957351475,-0.00837827488304892,0.012877678915348573,0.020943424232249413,-0.007286684376903536,0.019255787295189845,216.70734571751748,0.367881299729304,-0.14477263941128804,-0.036681679558612935,7.185512349976824,2.5,588.9871158902448,1.7693971870089882,2.0,1.0,4,1,"[11, 3, 7, 8.259132758442544, False]"
2018-12-24 08:00:00,2018-12-30 20:00:00,6D 12H,0.5641025641025641,0.6363636363636364,0.07189807414331661,0.07147735733795832,-0.07405089187425118,11,0.6363636363636364,0.04850928749653449,-0.024855566055197766,0.006497941576178029,0.016639923748409318,-0.011250527225226728,0.019237022191711726,67.28689203393922,0.36752279293073703,0.0,0.20776422539491116,2.5883112832633905,1.75,183.00060112629365,1.1202999041669996,1.5,1.0,4,2,"[22, 6, 10, 30.495636473953486, False]"
2018-12-31 16:00:00,2019-01-06 20:00:00,6D 4H,0.4864864864864865,0.1111111111111111,0.011706427525902896,0.01183944403352388,0.08139184861164983,11,0.5454545454545454,0.010477183528862608,-0.010784437434279651,0.0010763130939567163,0.005655535859539873,-0.004418754224743073,0.006240689896915603,1.029937373367182,0.11922821307121287,-1.202014528613665,-0.42657375777907164,1.5358724849292689,1.2,8.386751320091808,0.5720083433989032,2.5,4.0,3,4,"[24, 9, 10, 466.7151537704467, False]"
2019-01-07 00:00:00,2019-01-13 20:00:00,6D 20H,0.6097560975609756,0.4,0.0071008472870790484,0.007319855039921948,-0.1291123323631227,10,0.7,0.012906594924485666,-0.014404747658206762,0.0007319855039921948,0.004240575655316473,-0.007454724849097785,0.007320106079283923,0.5379367749284341,0.139850430279527,-1.558245564177731,-0.41576578929921404,1.3273027146359777,2.3333333333333335,3.632000086901355,0.3162169211444058,1.5,0.6666666666666666,4,1,"[15, 3, 5, 11.527836838688653, False]"
2019-01-14 00:00:00,2019-01-20 16:00:00,6D 16H,0.475,0.47368421052631576,0.015284978717321263,0.01559935424371085,0.008181805155540234,10,0.3,0.02695928642760384,-0.005878936319104223,0.0015599354243710849,0.012435415136401113,-0.003100984452213213,0.009708944963583866,1.516330110252428,0.18548913308238218,-2.5633545272208482,-1.0781734119704462,1.7186360370438116,0.42857142857142855,8.013030658741055,0.5080829031677878,0.6666666666666666,2.5,1,4,"[5, 9, 9, 21.814859295961696, False]"
2019-01-21 04:00:00,2019-01-27 20:00:00,6D 16H,0.55,0.6363636363636364,-0.008343321858278352,-0.008313654862622501,0.006807813248724814,7,0.42857142857142855,0.003289550272741028,-0.009465494478785193,-0.001187664980374643,0.002484099520312572,-0.003941488355890055,0.0044511955832639985,-0.39931299241733786,0.08503997221290208,-3.369296968409847,-1.0084665760824165,0.47268302529685263,0.75,-5.048367035475153,-0.7059375666947292,1.5,1.0,2,1,"[5, 9, 8, 443.80990053523055, False]"
2019-01-28 00:00:00,2019-02-03 12:00:00,6D 12H,0.5128205128205128,1.0,-0.025860871474815195,-0.025880275545543875,-0.0052101883020645445,7,0.2857142857142857,0.0108999561211057,-0.018687067014395497,-0.003697182220791982,0.00761925194769578,-0.008223755888187087,0.009502436467421696,-0.7968687328401867,0.18154379380288874,0.0,0.21497704393874537,0.37059718460954616,0.4,-4.55465161060785,-1.0294017477981825,1.0,1.0,1,2,"[9, 6, 6, 450.8131206796895, False]"
2019-02-04 00:00:00,2019-02-10 16:00:00,6D 16H,0.5,0.0,0.011733458663625074,0.01175504919345871,0.054191679100593415,9,0.4444444444444444,0.009374751824860462,-0.003503529566273788,0.0013061165770509677,0.00485403866418086,-0.0015322210926529468,0.0045465436812833285,1.0332394051941707,0.08686159506780505,-0.39850311097235536,-0.11782983240597542,2.5343802862164706,0.8,11.549861643814296,0.8618304377638558,1.5,3.0,2,3,"[6, 7, 10, 314.37590149753356, False]"
2019-02-11 00:00:00,2019-02-17 20:00:00,6D 20H,0.5365853658536586,0.6363636363636364,0.005711906887134743,0.005906715338539618,0.012273985609048577,9,0.5555555555555556,0.01146680395978375,-0.01131995429224401,0.0006563017042821798,0.005819803214315764,-0.005798075183259801,0.007231964764478975,0.41408931163275975,0.13816649282460955,-2.0237272432728868,-0.9157337833096079,1.2546843198753908,1.25,2.779902013727221,0.2722503741330643,0.5,2.0,3,3,"[8, 7, 10, 107.11938838058136, False]"
