Start,End,Duration,Exposure Time,Downside Exposure Time,Returns,Total Returns,Buy & Hold Returns,Number Of Trades,Win Rate,Best Return,Worst Return,Avg Return,Avg Positive Return,Avg Negative Return,Volatility,Returns Annual,Volatility Annual,Max Drawdown,Avg Drawdown,Profit Factor,Win Loss Ratio,Sharpe Ratio,SQN,Avg Consecutive Wins,Avg Consecutive Losses,Max Consecutive Wins,Max Consecutive Losses,Args
2020-04-27 00:00:00,2020-05-03 20:00:00,6D 20H,0.5853658536585366,0.20833333333333334,0.13988919987385806,0.14062662012693544,0.09189534141671984,10,0.6,0.11864735516372812,-0.03546075303126998,0.014062662012693544,0.03661518421210202,-0.01976612128641916,0.045418908469594094,2877.351737349945,0.8677270279286099,-0.6982512742632632,-0.18367074710492806,2.7786319593156183,1.5,3315.929600831414,0.979108556847199,2.0,1.0,3,2,"[10, 3, 5, 200.40496286458816, False]"
2020-05-04 00:00:00,2020-05-10 20:00:00,6D 20H,0.4878048780487805,0.45,-0.06369560628947601,-0.0559694763966017,-0.06524390243902445,16,0.4375,0.037145539906103364,-0.12147511312217203,-0.0034980922747876063,0.017004708680035386,-0.019444715239649933,0.03487045443974543,-0.9817524498328054,0.6661990966554533,-1.752696919141877,1.3675223129670409,0.6801788746151121,0.7777777777777778,-1.5186938182776708,-0.4012671851847703,2.3333333333333335,1.6666666666666667,4,3,"[10, 3, 10, 262.99901408770813, False]"
2020-05-11 00:00:00,2020-05-17 20:00:00,6D 20H,0.5121951219512195,0.23809523809523808,0.048147399815698044,0.057972882909731946,0.32439502943100074,13,0.46153846153846156,0.08655472170106307,-0.07260135462022264,0.004459452531517842,0.03685967582444709,-0.023312167433850086,0.042937428295035836,16.47271174716644,0.8203184157605146,-0.7108603766766919,-0.14013498746884864,1.3552582761416885,0.8571428571428571,20.044304054691317,0.37447013948770197,2.0,1.3333333333333333,4,2,"[19, 3, 10, 148.89359292967157, False]"
2020-05-18 12:00:00,2020-05-24 16:00:00,6D 4H,0.4594594594594595,0.7647058823529411,-0.0007616680600508463,0.002067300907644884,-0.02413127413127414,8,0.375,0.04791304347826076,-0.035653465346534616,0.0002584126134556105,0.030492293958225045,-0.01788191619340605,0.028550187666279432,-0.04529459432519478,0.5454505694924312,-1.2139982058408998,0.02115566831681992,1.0231216932825935,0.6,-0.13804109581416357,0.02560057586373301,1.5,1.5,2,2,"[23, 12, 10, 91.97486720091189, False]"
2020-05-25 08:00:00,2020-05-31 20:00:00,6D 12H,0.5384615384615384,0.047619047619047616,-0.0007650980669700047,0.01794704248268786,0.03853955375253548,13,0.5384615384615384,0.0802677773262902,-0.09800176366843022,0.0013805417294375276,0.042878796060838845,-0.04703408832386402,0.05555898820862176,-0.04549393334020657,1.0614529793304583,-1.0030331453122558,-0.23431762488325894,1.0635958695854424,1.1666666666666667,-0.07112320075433441,0.08959151622261369,2.0,1.5,3,3,"[5, 3, 10, 2.071453284966144, False]"
2020-06-01 08:00:00,2020-06-07 16:00:00,6D 8H,0.5526315789473685,0.14285714285714285,-0.0018961614785141245,-0.00016811392485082983,-0.04449648711943788,13,0.46153846153846156,0.02787909936368087,-0.03791588785046725,-1.2931840373140756e-05,0.013300936904226917,-0.011424819335744617,0.016925098980250766,-0.1090431867493935,0.32335356199417253,-1.0230398721091778,-0.39037512264807,0.9978978857981983,0.8571428571428571,-0.43000357222568447,-0.0027548679984608004,5.0,0,5,7,"[4, 2, 10, 342.302726472704, False]"
2020-06-08 00:00:00,2020-06-14 20:00:00,6D 20H,0.7073170731707317,0.6896551724137931,-0.031754958876728634,-0.02501030087277988,0.015308641975308568,9,0.5555555555555556,0.04647774480712179,-0.09224594719777689,-0.002778922319197764,0.02322620466477866,-0.03528533104916829,0.04183328028293335,-0.8595770950636412,0.7992236976085718,-2.1650808130355905,-1.0422553947267286,0.8227995874692993,1.25,-1.1130514494570467,-0.19928551863991473,1.3333333333333333,1.5,2,2,"[7, 3, 7, 388.95828380308495, False]"
2020-06-15 00:00:00,2020-06-21 16:00:00,6D 16H,0.625,0.04,0.14305005241423885,0.13750071703512257,0.11660777385159005,10,0.6,0.06961611374407574,-0.017014234875444807,0.013750071703512256,0.028915273751572667,-0.008997731368578354,0.025746956621391162,3405.4544084205627,0.49189491557779524,-0.12150194397185088,-0.025459380292265167,4.8204273778193425,1.5,6923.0729990783575,1.6888032715138348,2.0,0.6666666666666666,3,1,"[5, 3, 10, 305.75505178468626, False]"
2020-06-22 08:00:00,2020-06-28 20:00:00,6D 12H,0.5128205128205128,0.6,-0.06230325623298216,-0.06301268721888745,-0.08995910949568375,10,0.2,0.02488996763754052,-0.035306907742234474,-0.006301268721888745,0.01648837318723919,-0.011998679199170728,0.0156675834469514,-0.9800260873461787,0.2993287614639173,-6.680790636131487,-2.574182702410343,0.34354558767557436,0.25,-3.3743034996252192,-1.2718209784817716,0.5,3.0,1,5,"[4, 3, 10, 327.95927722925364, False]"
2020-06-29 12:00:00,2020-07-05 16:00:00,6D 4H,0.5675675675675675,0.5714285714285714,-0.006867833422880665,-0.005405203245028568,-0.015527950310559091,14,0.42857142857142855,0.03450609432962358,-0.02058762886597948,-0.0003860859460734691,0.013045889474209399,-0.010460067511285618,0.01516519067159079,-0.3424499983384999,0.2897305609675687,-2.89876701915346,-1.046582544606799,0.9354066878727509,0.75,-1.2855047016603487,-0.0952577097999564,1.6666666666666667,3.0,4,5,"[21, 8, 7, 468.2398925952448, False]"
